1774404542800	0	SYSTEM	startup
1774404542910	0	SYSTEM	login online
1774404544711	0	SYSTEM	game online
1774404552051	12	PLAYER Zedbot	CONNECTED	TILE 3221,3219,0
1774404560523	26	PLAYER Zedbot	TASK_COMPLETED	a_world_in_microcosm_task
1774404568469	39	PLAYER Zedbot	TASK_COMPLETED	armed_and_dangerous_task
1774404571535	44	PLAYER Zedbot	EXP	Attack	1.6
1774404571536	44	PLAYER Zedbot	EXP	Constitution	0.5333333333333333
1774404576414	52	PLAYER Zedbot	EXP	Attack	2.8
1774404576414	52	PLAYER Zedbot	EXP	Constitution	0.9333333333333333
1774404578858	56	PLAYER Zedbot	EXP	Attack	5.2
1774404578858	56	PLAYER Zedbot	EXP	Constitution	1.7333333333333334
1774404583725	64	PLAYER Zedbot	EXP	Attack	2.4
1774404583725	64	PLAYER Zedbot	EXP	Constitution	0.8
1774404586158	68	PLAYER Zedbot	EXP	Attack	1.6
1774404586158	68	PLAYER Zedbot	EXP	Constitution	0.5333333333333333
1774404622856	0	SYSTEM	startup
1774404622971	0	SYSTEM	login online
1774404624661	0	SYSTEM	game online
1774404625923	2	PLAYER NetNinja	CONNECTED	TILE 3093,3241,0
1774404626473	3	BOT NetNinja	ASSIGNED	varrock_clay_mining
1774404626499	3	PLAYER Tauros	CONNECTED	TILE 3093,3243,0
1774404627076	4	BOT NetNinja	START_RESOLVER	deposit_all_bank	varrock_clay_mining
1774404627076	4	BOT Tauros	ASSIGNED	ranged_tutor
1774404627093	4	PLAYER Vindicta	CONNECTED	TILE 3213,3428,0
1774404627675	5	BOT NetNinja	START_ACTIVITY	deposit_all_bank
1774404627676	5	BOT Tauros	START_RESOLVER	nemarti_bow	ranged_tutor
1774404627676	5	BOT Vindicta	ASSIGNED	lumbridge_west_tree_cutting
1774404627702	5	PLAYER ScrumMastr	CONNECTED	TILE 3221,3217,0
1774404628277	6	BOT Tauros	START_RESOLVER	go_to_area	nemarti_bow
1774404628277	6	BOT Vindicta	START_RESOLVER	deposit_all_bank	lumbridge_west_tree_cutting
1774404628277	6	BOT ScrumMastr	ASSIGNED	kill_freds_chickens_strength
1774404628295	6	PLAYER RippleRick	CONNECTED	TILE 3213,3429,0
1774404628882	7	BOT Tauros	START_ACTIVITY	go_to_area
1774404628882	7	BOT Vindicta	START_ACTIVITY	deposit_all_bank
1774404628883	7	BOT ScrumMastr	START_RESOLVER	equip_items	kill_freds_chickens_strength
1774404628883	7	BOT RippleRick	ASSIGNED	kill_freds_chickens_strength
1774404628898	7	PLAYER NetNinja	TASK_COMPLETED	on_the_run_task
1774404628902	7	PLAYER HotDog99	CONNECTED	TILE 3095,3241,0
1774404629481	8	BOT ScrumMastr	START_ACTIVITY	equip_items
1774404629481	8	BOT RippleRick	START_RESOLVER	equip_items	kill_freds_chickens_strength
1774404629481	8	BOT HotDog99	ASSIGNED	kill_freds_chickens_attack
1774404629498	8	PLAYER RedFootRed	CONNECTED	TILE 3094,3243,0
1774404630080	9	BOT Tauros	START_ACTIVITY	go_to_lumbridge_combat_tutors
1774404630081	9	BOT Vindicta	START_ACTIVITY	go_to_bank
1774404630084	9	PLAYER ScrumMastr	TASK_COMPLETED	armed_and_dangerous_task
1774404630085	9	BOT RippleRick	START_ACTIVITY	equip_items
1774404630085	9	BOT HotDog99	START_RESOLVER	equip_items	kill_freds_chickens_attack
1774404630085	9	BOT RedFootRed	ASSIGNED	kill_freds_chickens_defence
1774404630101	9	PLAYER Tauros	TASK_COMPLETED	on_the_run_task
1774404630102	9	PLAYER Vindicta	TASK_COMPLETED	on_the_run_task
1774404630104	9	PLAYER TunaTodd	CONNECTED	TILE 3094,3245,0
1774404630682	10	PLAYER RippleRick	TASK_COMPLETED	armed_and_dangerous_task
1774404630682	10	BOT HotDog99	START_ACTIVITY	equip_items
1774404630682	10	BOT RedFootRed	START_RESOLVER	equip_items	kill_freds_chickens_defence
1774404630682	10	BOT TunaTodd	ASSIGNED	draynor_east_trees
1774404630701	10	PLAYER SparrowS	CONNECTED	TILE 3093,3244,0
1774404631284	11	PLAYER NetNinja	TASK_COMPLETED	hang_on_to_something_task
1774404631286	11	PLAYER HotDog99	TASK_COMPLETED	armed_and_dangerous_task
1774404631287	11	BOT RedFootRed	START_ACTIVITY	equip_items
1774404631287	11	BOT TunaTodd	START_RESOLVER	deposit_all_bank	draynor_east_trees
1774404631287	11	BOT SparrowS	ASSIGNED	varrock_east_tin_mining
1774404631302	11	PLAYER Blastoise	CONNECTED	TILE 3093,3241,0
1774404631883	12	BOT ScrumMastr	COMPLETED	equip_items
1774404631884	12	PLAYER RedFootRed	TASK_COMPLETED	armed_and_dangerous_task
1774404631884	12	BOT TunaTodd	START_ACTIVITY	deposit_all_bank
1774404631884	12	BOT SparrowS	START_RESOLVER	deposit_all_bank	varrock_east_tin_mining
1774404631884	12	BOT Blastoise	ASSIGNED	draynor_north_trees
1774404631898	12	PLAYER SphinxSam	CONNECTED	TILE 3092,3244,0
1774404632485	13	BOT ScrumMastr	START_RESOLVER	deposit_all_bank	kill_freds_chickens_strength
1774404632485	13	BOT RippleRick	COMPLETED	equip_items
1774404632485	13	BOT SparrowS	START_ACTIVITY	deposit_all_bank
1774404632485	13	BOT Blastoise	START_RESOLVER	deposit_all_bank	draynor_north_trees
1774404632485	13	BOT SphinxSam	ASSIGNED	lumbridge_cow_tree_cutting
1774404632502	13	PLAYER SpecklSpeck	CONNECTED	TILE 3093,3244,0
1774404633085	14	BOT NetNinja	COMPLETED	deposit_all_bank
1774404633085	14	BOT ScrumMastr	START_ACTIVITY	deposit_all_bank
1774404633085	14	BOT RippleRick	START_RESOLVER	deposit_all_bank	kill_freds_chickens_strength
1774404633085	14	BOT HotDog99	COMPLETED	equip_items
1774404633085	14	BOT Blastoise	START_ACTIVITY	deposit_all_bank
1774404633086	14	BOT SphinxSam	START_RESOLVER	deposit_all_bank	lumbridge_cow_tree_cutting
1774404633086	14	BOT SpecklSpeck	ASSIGNED	melee_tutor_attack
1774404633098	14	PLAYER TunaTodd	TASK_COMPLETED	on_the_run_task
1774404633099	14	PLAYER Shellder	CONNECTED	TILE 3094,3245,0
1774404633689	15	BOT NetNinja	START_RESOLVER	withdraw_from_bank	varrock_clay_mining
1774404633689	15	BOT RippleRick	START_ACTIVITY	deposit_all_bank
1774404633689	15	BOT HotDog99	START_RESOLVER	deposit_all_bank	kill_freds_chickens_attack
1774404633689	15	BOT RedFootRed	COMPLETED	equip_items
1774404633689	15	BOT SphinxSam	START_ACTIVITY	deposit_all_bank
1774404633689	15	BOT SpecklSpeck	START_RESOLVER	harlan_sword	melee_tutor_attack
1774404633689	15	BOT Shellder	ASSIGNED	lumbridge_copper_mining
1774404633703	15	PLAYER SparrowS	TASK_COMPLETED	on_the_run_task
1774404633705	15	PLAYER KindaSort	CONNECTED	TILE 3221,3217,0
1774404634290	16	BOT NetNinja	START_ACTIVITY	withdraw_from_bank
1774404634290	16	BOT ScrumMastr	START_ACTIVITY	go_to_bank
1774404634290	16	BOT HotDog99	START_ACTIVITY	deposit_all_bank
1774404634290	16	BOT RedFootRed	START_RESOLVER	deposit_all_bank	kill_freds_chickens_defence
1774404634290	16	BOT SpecklSpeck	START_RESOLVER	go_to_area	harlan_sword
1774404634290	16	BOT Shellder	START_RESOLVER	deposit_all_bank	lumbridge_copper_mining
1774404634290	16	BOT KindaSort	ASSIGNED	lumbridge_east_tree_cutting
1774404634302	16	PLAYER ScrumMastr	TASK_COMPLETED	on_the_run_task
1774404634302	16	PLAYER Blastoise	TASK_COMPLETED	on_the_run_task
1774404634304	16	PLAYER CommanderC	CONNECTED	TILE 3213,3429,0
1774404634891	17	BOT RippleRick	START_ACTIVITY	go_to_bank
1774404634891	17	BOT RedFootRed	START_ACTIVITY	deposit_all_bank
1774404634891	17	BOT SpecklSpeck	START_ACTIVITY	go_to_area
1774404634891	17	BOT Shellder	START_ACTIVITY	deposit_all_bank
1774404634891	17	BOT KindaSort	START_RESOLVER	deposit_all_bank	lumbridge_east_tree_cutting
1774404634891	17	BOT CommanderC	ASSIGNED	varrock_copper_mining
1774404634905	17	PLAYER RippleRick	TASK_COMPLETED	on_the_run_task
1774404634906	17	PLAYER SphinxSam	TASK_COMPLETED	on_the_run_task
1774404634909	17	PLAYER Gibbery	CONNECTED	TILE 3095,3242,0
1774404635493	18	PLAYER TunaTodd	TASK_COMPLETED	hang_on_to_something_task
1774404635494	18	BOT KindaSort	START_ACTIVITY	deposit_all_bank
1774404635494	18	BOT CommanderC	START_RESOLVER	deposit_all_bank	varrock_copper_mining
1774404635494	18	BOT Gibbery	ASSIGNED	kill_freds_chickens_attack
1774404635507	18	PLAYER HotDog99	TASK_COMPLETED	on_the_run_task
1774404635509	18	PLAYER Gemini Twin	CONNECTED	TILE 3212,3428,0
1774404636094	19	PLAYER SparrowS	TASK_COMPLETED	hang_on_to_something_task
1774404636094	19	BOT SpecklSpeck	START_ACTIVITY	go_to_lumbridge_combat_tutors
1774404636095	19	BOT CommanderC	START_ACTIVITY	deposit_all_bank
1774404636095	19	BOT Gibbery	START_RESOLVER	equip_items	kill_freds_chickens_attack
1774404636095	19	BOT Gemini Twin	ASSIGNED	magic_tutor
1774404636111	19	PLAYER RedFootRed	TASK_COMPLETED	on_the_run_task
1774404636111	19	PLAYER SpecklSpeck	TASK_COMPLETED	on_the_run_task
1774404636111	19	PLAYER Shellder	TASK_COMPLETED	on_the_run_task
1774404636114	19	PLAYER ZetaZero	CONNECTED	TILE 3095,3241,0
1774404636695	20	PLAYER Blastoise	TASK_COMPLETED	hang_on_to_something_task
1774404636696	20	BOT KindaSort	START_ACTIVITY	go_to_bank
1774404636696	20	BOT Gibbery	START_ACTIVITY	equip_items
1774404636697	20	BOT ZetaZero	ASSIGNED	varrock_copper_mining
1774404636709	20	PLAYER KindaSort	TASK_COMPLETED	on_the_run_task
1774404636711	20	PLAYER LongHair	CONNECTED	TILE 3222,3220,0
1774404637295	21	BOT TunaTodd	COMPLETED	deposit_all_bank
1774404637296	21	PLAYER SphinxSam	TASK_COMPLETED	hang_on_to_something_task
