1774807197867	918	BOT Matoya	START_ACTIVITY	go_to_bank
1774807197867	918	BOT SkidMark	START_ACTIVITY	go_to_varrock_south_east_mine
1774807197867	918	BOT Starmie	COMPLETED	withdraw_from_bank
1774807197867	918	BOT SpeedHack99	START_ACTIVITY	go_to_varrock_south_east_mine
1774807197869	918	BOT ProPunch	FAILED	go_to_varrock_south_east_mine	Stuck	0	BotWalkTo
1774807197869	918	BOT DownUp99	START_ACTIVITY	go_to_bank
1774807197891	918	PLAYER SundayFun	EXP	Attack	0.8
1774807197891	918	PLAYER SundayFun	SET_EXP	Attack	3864
1774807197892	918	PLAYER SundayFun	EXP	Constitution	0.26666666666666666
1774807197892	918	PLAYER SundayFun	SET_EXP	Constitution	12828
1774807197893	918	PLAYER AlosaurAce	EXP	Mining	17.5
1774807197893	918	PLAYER AlosaurAce	SET_EXP	Mining	23100
1774807197893	918	PLAYER ThreatPeace	EXP	Strength	1.2
1774807197893	918	PLAYER ThreatPeace	SET_EXP	Strength	3672
1774807197893	918	PLAYER ThreatPeace	EXP	Constitution	0.4
1774807197893	918	PLAYER ThreatPeace	SET_EXP	Constitution	12764
1774807197894	918	PLAYER Blueberry	EXP	Strength	10.0
1774807197894	918	PLAYER Blueberry	SET_EXP	Strength	21720
1774807197894	918	PLAYER Blueberry	EXP	Constitution	3.3333333333333335
1774807197894	918	PLAYER Blueberry	SET_EXP	Constitution	18780
1774807198468	919	BOT DeepDan	START_ACTIVITY	go_to_bank
1774807198468	919	BOT Skoll	FAILED	go_to_bank	Stuck	0	BotWalkTo
1774807198468	919	BOT YutytyrannY	COMPLETED	withdraw_from_bank
1774807198492	919	PLAYER MegalodonM	EXP	Woodcutting	37.5
1774807198492	919	PLAYER MegalodonM	TOTAL_LEVEL_UP	23
1774807198492	919	PLAYER MegalodonM	LEVEL_UP	Woodcutting	24
1774807198492	919	PLAYER MegalodonM	SET_EXP	Woodcutting	72000
1774807198493	919	PLAYER Ice	EXP	Firemaking	40.0
1774807198493	919	PLAYER Ice	LEVEL_UP	Firemaking	13
1774807198493	919	PLAYER Ice	SET_EXP	Firemaking	19200
